Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-08-25,Ping Pong the Animation,2014,https://boxd.it/25MVdj,4.5,,"anime, japan, masaaki yuasa, tv",2021-08-25
2021-08-27,Kill Bill: Vol. 1,2003,https://boxd.it/2627Pf,4,Yes,outdoors,2021-08-26
2021-08-27,Kill Bill: Vol. 2,2004,https://boxd.it/262RMB,3.5,,,2021-08-27
2021-08-29,The Hateful Eight,2015,https://boxd.it/26g7KR,4,,,2021-08-28
2021-08-29,Django Unchained,2012,https://boxd.it/26jCw3,4.5,Yes,,2021-08-28
2021-09-01,L.A. Confidential,1997,https://boxd.it/26LC1l,3.5,,,2021-08-31
2021-09-02,The Tenant,1976,https://boxd.it/26UBNL,4,,"roman polanski, ???",2021-09-02
2021-09-03,Cul-de-sac,1966,https://boxd.it/272xXt,3,,roman polanski,2021-09-03
2021-09-04,Point Blank,1967,https://boxd.it/27axwX,4,,,2021-09-04
2021-09-09,Princess Yang Kwei Fei,1955,https://boxd.it/27TMUv,3.5,,"japan, kenji mizoguchi, japanese golden age",2021-09-08
2021-09-11,The Card Counter,2021,https://boxd.it/288ybh,4,,theatre,2021-09-10
2021-09-13,Woman of Rumor,1954,https://boxd.it/28uOvV,3.5,,"kenji mizoguchi, japanese golden age, japan",2021-09-13
2021-09-14,Macbeth,1971,https://boxd.it/28BSu7,4,,roman polanski,2021-09-13
2021-09-16,Red Beard,1965,https://boxd.it/28OCJ7,5,Yes,"akira kurosawa, japanese golden age, japan, masterpiece",2021-09-15
2021-09-17,Close-Up,1990,https://boxd.it/28YaNv,3.5,,"abbas kiarostami, iran",2021-09-16
2021-09-17,Corpse Bride,2005,https://boxd.it/28ZndR,3.5,Yes,,2021-09-17
2021-09-18,Scandal,1950,https://boxd.it/295WAD,3,,"akira kurosawa, japan, japanese golden age",2021-09-18
2021-09-19,The Hourglass Sanatorium,1973,https://boxd.it/29cnJJ,2,,poland,2021-09-18
2021-09-20,The Ballad of Narayama,1958,https://boxd.it/29ppGD,4,,"japan, japanese golden age, keisuke kinoshita, criterion channel",2021-09-20
2021-09-21,Knife in the Water,1962,https://boxd.it/29wsaT,3.5,,"poland, roman polanski, criterion channel",2021-09-21
2021-09-24,In the Heights,2021,https://boxd.it/29Rfgr,4,,"ut dallas, theatre",2021-09-23
2021-09-25,The Lower Depths,1957,https://boxd.it/2a0irb,3,,"japan, japanese golden age, akira kurosawa, criterion channel",2021-09-24
2021-09-26,The Idiot,1951,https://boxd.it/2aa4BV,2.5,,"akira kurosawa, japanese golden age, japan, criterion channel",2021-09-26
2021-09-28,Wedding Ring,1950,https://boxd.it/2aos3V,3,,"japan, keisuke kinoshita, japanese golden age, criterion channel",2021-09-27
2021-10-01,The Thing,1982,https://boxd.it/2aLib7,4.5,Yes,john carpenter,2021-09-30
2021-10-01,Millennium Actress,2001,https://boxd.it/2aP9oz,3.5,Yes,"satoshi kon, japan, anime",2021-10-01
2021-10-04,The Quiet Duel,1949,https://boxd.it/2bktZR,3,,"akira kurosawa, japanese golden age, japan",2021-10-04
2021-10-05,Madadayo,1993,https://boxd.it/2brVCZ,3.5,,"akira kurosawa, japan",2021-10-04
2021-10-07,Zola,2020,https://boxd.it/2bIamJ,4,,"ut dallas, theatre",2021-10-06
2021-10-09,The French Dispatch,2021,https://boxd.it/2bZmn9,4,,"theatre, diff, alamo drafthouse",2021-10-08
2021-10-11,C'mon C'mon,2021,https://boxd.it/2ckOOf,4,,"theatre, diff, alamo drafthouse",2021-10-10
2021-10-13,Dune,2021,https://boxd.it/2cG4Df,4,,theatre,2021-10-12
2021-10-14,The Karate Kid,1984,https://boxd.it/2cNCOF,3.5,,,2021-10-13
2021-10-18,Sanjuro,1962,https://boxd.it/2dpvpJ,4,Yes,"japan, japanese golden age, akira kurosawa",2021-10-17
2021-10-20,Children of Hiroshima,1952,https://boxd.it/2dIQBJ,3.5,,"japanese golden age, japan, kaneto shindo",2021-10-19
2021-10-22,Rhapsody in August,1991,https://boxd.it/2dVmi9,4,,"japan, akira kurosawa",2021-10-21
2021-10-22,Elephant,2003,https://boxd.it/2e0Cf1,,,gus van sant,2021-10-21
2021-10-24,Dodes'ka-den,1970,https://boxd.it/2emPMr,4,,"akira kurosawa, japan",2021-10-24
2021-10-25,The Silence of the Lambs,1991,https://boxd.it/2eyM8R,4,,jonathan demme,2021-10-25
2021-10-26,In This Corner (and Other Corners) of the World,2019,https://boxd.it/2eJ9et,4.5,,"japan, anime",2021-10-26
2021-10-31,A Boy Named Charlie Brown,1969,https://boxd.it/2fn0FF,3.5,,,2021-10-30
2021-10-31,Last Night in Soho,2021,https://boxd.it/2fuF1P,3,,"edgar wright, frustrating, theatre",2021-10-31
