Date,Name,Year,Letterboxd URI,Rating
2016-08-13,Ice Age: Dawn of the Dinosaurs,2009,https://boxd.it/20iC,3
2016-08-13,The Pirates! In an Adventure with Scientists!,2012,https://boxd.it/2p1w,3
2016-08-13,Paul Blart: Mall Cop,2009,https://boxd.it/1NQw,2
2016-08-13,Inside Out,2015,https://boxd.it/4KHC,4.5
2016-08-13,Mad Max: Fury Road,2015,https://boxd.it/2DjO,4.5
2016-08-13,Pan,2015,https://boxd.it/7XYi,2.5
2016-08-14,Poltergeist,1982,https://boxd.it/2a0o,4
2016-08-16,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,5
2016-08-16,Skyfall,2012,https://boxd.it/17Fc,4.5
2016-08-17,Jaws 2,1978,https://boxd.it/2a54,2.5
2016-08-17,Jaws 3-D,1983,https://boxd.it/1Idu,1.5
2016-08-17,Jaws,1975,https://boxd.it/2a5e,5
2016-08-19,Where the Wild Things Are,2009,https://boxd.it/1K0C,5
2016-08-19,Mulholland Drive,2001,https://boxd.it/297o,5
2016-08-19,The Phantom of the Opera,1925,https://boxd.it/29bU,3.5
2016-08-19,Alien,1979,https://boxd.it/2awY,5
2016-08-19,Close Encounters of the Third Kind,1977,https://boxd.it/29u8,5
2016-08-19,The Last Airbender,2010,https://boxd.it/1WQK,0.5
2016-08-19,Raiders of the Lost Ark,1981,https://boxd.it/2bbs,5
2016-08-19,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,5
2016-08-19,V-World Matrix,1999,https://boxd.it/7GfU,0.5
2016-08-19,The Dark Crystal,1982,https://boxd.it/1Tm8,3
2016-08-19,Return to Oz,1985,https://boxd.it/1QHM,2.5
2016-08-19,Nausicaä of the Valley of the Wind,1984,https://boxd.it/2bc6,4
2016-08-19,Forgetting Sarah Marshall,2008,https://boxd.it/1XEq,3
2016-08-19,Drag Me to Hell,2009,https://boxd.it/1Jzw,3.5
2016-08-19,Beverly Hills Cop,1984,https://boxd.it/2baE,3.5
2016-08-19,The Internship,2013,https://boxd.it/3SWS,2
2016-08-19,Tremors,1990,https://boxd.it/1YSe,3.5
2016-08-19,Fast Times at Ridgemont High,1982,https://boxd.it/1QnM,3.5
2016-08-19,The Twilight Saga: New Moon,2009,https://boxd.it/1Hj2,1.5
2016-08-19,Poltergeist,2015,https://boxd.it/79UK,1.5
2016-08-19,Field of Dreams,1989,https://boxd.it/26VK,3.5
2016-08-19,The Princess Diaries,2001,https://boxd.it/1XCO,2
2016-08-19,Déjà Vu,2006,https://boxd.it/20PQ,3
2016-08-19,Love & Other Drugs,2010,https://boxd.it/UIi,3
2016-08-19,The Watch,2012,https://boxd.it/2MZk,2
2016-08-19,Air Force One,1997,https://boxd.it/1XQw,2.5
2016-08-19,The Day the Earth Stood Still,1951,https://boxd.it/29w4,4
2016-08-19,Rubber,2010,https://boxd.it/P2m,4
